"geoid","AFFH.pov_idx","AFFH.lbr_idx","AFFH.haz_idx","AFFH.tcost_idx","AFFH.trans_idx","HUD.School.Index","ACS.total.housing.units","ACS.vacant.housing.units","ACS.rental.vacancy.rate","ACS.rented.units","ACS.rented.less.500","ACS.rented.500.999","ACS.rented.1000.1499","ACS.rented.1500.1999","ACS.rented.2000.2499","ACS.rented.2500.2999","ACS.rented.3000.more","ACS.multi.family.units","ACS.3.bedrooms","ACS.4.bedrooms","ACS.5.bedrooms","COI.ALLCOMPLEV","COI.ALLCOMPLEV.NUM","Region"
25001010100,47,75,95,79,39,25,4517,2735,"13.6",581,28,276,215,52,10,0,0,2720,586,324,89,NA,NA,"REGION 4"
25001010206,48,87,NA,58,17,99,4476,2928,"0",253,12,164,30,47,0,0,0,242,1822,712,167,NA,NA,"REGION 4"
25001010208,53,72,NA,67,0,45,3277,2457,"17.2",107,15,59,33,0,0,0,0,227,1021,721,223,NA,NA,"REGION 4"
25001010304,80,70,NA,51,15,70,2684,1723,"0",99,0,44,55,0,0,0,0,79,1403,576,47,NA,NA,"REGION 4"
25001010306,80,73,NA,58,23,70,3222,1892,"0",211,19,63,110,19,0,0,0,159,1870,405,98,NA,NA,"REGION 4"
25001010400,92,76,96,75,31,61,2421,892,"4.9",375,38,105,212,13,7,0,0,741,689,491,86,NA,NA,"REGION 4"
25001010500,84,93,97,58,0,61,2877,1525,"0",207,113,82,8,4,0,0,0,256,1069,804,180,NA,NA,"REGION 4"
25001010600,67,81,97,66,22,60,2859,1321,"8.5",263,67,109,76,11,0,0,0,325,1240,602,194,NA,NA,"REGION 4"
25001010700,67,78,96,58,15,60,4260,2982,"6.9",196,8,74,57,52,5,0,0,355,1596,874,149,NA,NA,"REGION 4"
25001010800,77,86,98,61,20,84,3682,1425,"0",324,79,108,96,41,0,0,0,211,1669,890,165,NA,NA,"REGION 4"
25001010900,68,82,98,57,26,84,4079,2064,"0",387,46,115,206,0,20,0,0,1614,1494,393,36,NA,NA,"REGION 4"
