"CT_ID_10","TotalPop","MedHouseIncome","FamPovPer","UnempRate","COI.ALLCOMPLEV","COI.ALLCOMPLEV.NUM"
25001010100,2962,42228,7.67,8.93,NA,NA
25001010206,3168,48452,1.8,11.6,NA,NA
25001010208,1589,62051,11.39,4.59,NA,NA
25001010304,2107,61138,2.82,7.09,NA,NA
25001010306,2817,55455,4.7,9.41,NA,NA
25001010400,3081,46741,2.8,4.23,NA,NA
25001010500,2766,68508,6.55,2.16,NA,NA
25001010600,3238,66852,6.21,7.43,NA,NA
25001010700,2904,64375,11.81,5.6,NA,NA
25001010800,4860,76768,1.95,7.11,NA,NA
25001010900,5019,65231,3.13,2.48,NA,NA
25001011002,4192,60044,2.24,6.29,NA,NA
25001011100,4525,79766,2.19,4.31,NA,NA
25001011200,3450,68617,5.39,5.43,NA,NA
25001011300,2804,69148,4.19,8.33,NA,NA
25001011400,3148,61108,9.92,6.01,NA,NA
25001011500,3912,49335,5.31,10.03,NA,NA
25001011600,2313,46813,4.17,6.87,NA,NA
25001011700,1890,60903,4.72,7.83,NA,NA
25001011801,2439,55507,2.29,3.94,NA,NA
25001011802,4028,65806,4.11,4.02,NA,NA
25001012001,5767,53739,2.68,7.61,NA,NA
25001012002,2743,44835,7.97,12.72,NA,NA
25001012101,5585,67596,3.37,4.82,NA,NA
25001012102,2986,65651,4.53,9.61,NA,NA
25001012200,5016,87188,6.2,3.77,NA,NA
25001012502,3390,57042,2.95,5.53,NA,NA
25001012601,3832,64000,8.92,9,NA,NA
25001012602,4278,37478,16.32,8.18,NA,NA
25001012700,3995,73646,1.97,3.62,NA,NA
25001012800,4051,64144,3.35,9.28,NA,NA
25001012900,3820,70404,3.51,7.44,NA,NA
25001013002,2987,68289,0.84,8.79,NA,NA
25001013100,5179,79659,3.45,3.7,NA,NA
25001013200,4882,70929,6.25,7,NA,NA
25001013300,3285,68295,3.95,8.02,NA,NA
25001013400,3848,87969,4.25,7.11,NA,NA
25001013500,6702,97689,3.2,7.44,NA,NA
25001013600,6657,93003,3.14,3.39,NA,NA
25001013700,4407,72031,6.05,6.17,NA,NA
25001013800,4951,73729,11.02,6.89,NA,NA
25001013900,5564,72344,7.13,2.41,NA,NA
25001014002,4118,62543,4.46,2.72,NA,NA
25001014100,756,44405,7.87,0,NA,NA
25001014300,4175,86510,1.1,5.5,NA,NA
25001014402,6937,84583,4.77,4.81,NA,NA
25001014500,5328,69236,10.08,8.68,NA,NA
25001014600,4166,64357,4.22,9.13,NA,NA
25001014700,3653,61875,2.97,5.37,NA,NA
25001014800,3517,36066,1.94,4.48,NA,NA
25001014900,3768,79856,3.52,5.74,NA,NA
25001015001,4520,76356,3.05,5.54,NA,NA
25001015002,3727,61412,3.98,9.1,NA,NA
25001015100,3665,75625,6.82,5.67,NA,NA
25001015200,2168,85240,3.36,4.27,NA,NA
25001015300,3068,32786,16.95,7.95,NA,NA
25001990000,0,NA,NA,NA,NA,NA
25003900100,3289,20310,31.15,22.91,NA,NA
25003900200,4227,28692,15.08,10.52,NA,NA
25003900300,2693,43712,11.35,8.58,NA,NA
25003900400,5224,46134,18.73,9.56,NA,NA
25003900500,3421,75929,4.92,5.35,NA,NA
25003900600,3601,21938,41.44,21.08,NA,NA
25003900700,2781,52619,11.4,6.36,NA,NA
25003900800,4777,80388,1.15,6.22,NA,NA
25003900900,5018,62699,10.86,11.8,NA,NA
25003901100,3516,56818,3.08,3.29,NA,NA
25003911100,3019,74519,0,9.01,NA,NA
25003912100,6682,55774,6.96,6.94,NA,NA
25003913100,5015,55777,4.83,5.7,NA,NA
25003914100,5856,61507,3.85,4.82,NA,NA
25003920101,4311,73125,8.71,6.26,NA,NA
25003920102,3281,72407,6.65,6.54,NA,NA
25003921300,4603,27863,10.11,6.51,NA,NA
25003921400,1592,36231,13.49,14.59,NA,NA
25003921500,3190,41959,15.33,9.24,NA,NA
25003922100,2476,41829,15,4.83,NA,NA
25003922200,3720,53304,7.18,10.45,NA,NA
25003922300,2070,52569,3.23,7.06,NA,NA
25003923100,3192,58145,2.03,8.97,NA,NA
25003924100,2110,56554,2.31,4.75,NA,NA
25003925100,6933,56431,4.67,7.92,NA,NA
25003926100,3205,68603,8.76,5.21,NA,NA
25003931100,1652,60404,4.64,6.87,NA,NA
25003931300,1557,55417,6.67,9.52,NA,NA
25003931400,1753,70852,5.73,7.07,NA,NA
25003932200,2247,72981,3.56,6.64,NA,NA
25003932300,1955,60511,4.06,5.75,NA,NA
25003933200,1235,72386,4.24,6.02,NA,NA
25003933300,1435,72321,2.73,5.42,NA,NA
25003933400,2445,69306,3.8,6.77,NA,NA
25003934200,1194,69167,4.9,1.3,NA,NA
25003934300,1776,67156,3.28,4.03,NA,NA
25003935100,2486,79091,2.2,5.83,NA,NA
25003935200,5085,53365,15.23,6.86,NA,NA
25003935300,3941,31563,16.13,16.99,NA,NA
25005600100,4022,80000,4.78,4.97,"Very High",1
25005600202,4922,76068,3.5,11.39,"Moderate",0.5
