POSTCODE,BHA_PMSA
1432,1
1451,3
1460,1
1464,1
1469,1
1701,1
1702,1
1719,1
1720,1
1721,1
1730,1
1731,1
1740,3
1741,1
1742,1
1746,1
1748,1
1749,1
1752,1
1754,1
1756,3
1757,3
1760,1
1770,1
1772,3
1773,1
1775,1
1776,1
1778,1
1801,1
1803,1
1810,5
1821,6
1824,6
1826,6
1830,5
1832,5
1833,5
1834,5
1835,5
1840,5
1841,5
1843,5
1844,5
1845,5
1850,6
1851,6
1852,6
1854,6
1860,5
1862,6
1863,6
1864,1
1867,1
1876,6
1879,6
1880,1
1886,6
1887,1
1890,1
1902,1
1904,1
1905,1
1906,1
1907,1
1908,1
1913,1
1915,1
1921,5
1923,1
1929,1
1930,1
1938,1
1940,1
1944,1
1945,1
1949,1
1950,1
1951,1
1952,1
1960,1
1966,1
1969,1
1970,1
1983,1
1984,1
1985,5
2019,1
2021,1
2025,1
2026,1
2030,1
2032,1
2035,1
2038,1
2043,1
2045,1
2048,9
2050,1
2052,1
2053,1
2054,1
2056,1
2061,1
2062,1
2066,1
2067,1
2072,1
2081,1
2090,1
2093,1
2108,1
2109,1
2111,1
2113,1
2114,1
2115,1
2116,1
2118,1
2119,1
2120,1
2121,1
2122,1
2124,1
2125,1
2126,1
2127,1
2128,1
2129,1
2130,1
2131,1
2132,1
2134,1
2135,1
2136,1
2138,1
2139,1
2140,1
2141,1
2143,1
2144,1
2145,1
2148,1
2149,1
2150,1
2151,1
2152,1
2155,1
2169,1
2170,1
2171,1
2176,1
2180,1
2184,1
2186,1
2188,1
2189,1
2190,1
2191,1
2210,1
2215,1
2222,1
2301,2
2302,2
2322,2
2324,2
2330,1
2332,1
2333,2
2338,2
2339,1
2341,2
2343,1
2346,2
2347,2
2351,2
2356,4
2359,1
2360,1
2364,1
2367,2
2368,1
2370,1
2375,4
2379,2
2382,2
2420,1
2421,1
2445,1
2446,1
2451,1
2452,1
2453,1
2458,1
2459,1
2460,1
2461,1
2462,1
2465,1
2466,1
2467,1
2468,1
2472,1
2474,1
2476,1
2478,1
2481,1
2482,1
2492,1
2493,1
2494,1
2538,1
2571,1
2576,1
2702,7
2703,8
2715,9
2717,7
2718,9
2719,7
2720,8
2721,8
2723,8
2724,8
2725,8
2726,8
2738,2
2739,2
2740,7
2743,7
2744,7
2745,7
2746,7
2747,7
2748,7
2760,8
2762,1
2766,9
2767,4
2769,8
2770,2
2771,8
2777,8
2779,9
2780,9
2790,8
2110,1
